"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"03/20/2026","953.13","954.90","957.69","943.54","2.09B","1.09%"
"03/19/2026","942.83","949.15","957.83","940.46","2.07B","-1.36%"
"03/18/2026","955.82","961.70","966.84","954.50","1.91B","0.23%"
"03/17/2026","953.66","944.99","959.50","941.81","2.17B","2.19%"
"03/16/2026","933.25","940.45","942.30","931.58","1.37B","-0.35%"
"03/13/2026","936.50","942.94","946.93","932.61","1.88B","-1.43%"
"03/12/2026","950.12","926.63","950.16","925.72","1.89B","1.83%"
"03/11/2026","933.08","937.93","948.44","933.08","2.07B","0.03%"
"03/10/2026","932.77","936.80","941.20","923.62","1.99B","1.57%"
"03/09/2026","918.38","891.79","921.00","883.11","2.76B","-2.06%"
"03/06/2026","937.70","937.46","943.31","933.01","1.76B","-0.63%"
"03/05/2026","943.60","952.27","954.26","922.57","3.61B","1.95%"
"03/04/2026","925.51","930.34","937.71","894.07","5.06B","-5.44%"
"03/02/2026","978.80","994.24","1,008.00","978.62","3.29B","-3.99%"
"02/27/2026","1,019.53","1,017.19","1,032.59","1,015.43","2.58B","-0.63%"
"02/26/2026","1,026.01","1,022.64","1,027.86","1,017.60","2.04B","0.97%"
"02/25/2026","1,016.19","1,010.89","1,021.24","1,007.84","2.43B","1.60%"
"02/24/2026","1,000.20","993.28","1,001.94","983.12","2.13B","0.75%"
"02/23/2026","992.79","999.75","1,009.37","984.92","2.73B","-0.24%"
"02/20/2026","995.15","1,002.17","1,004.42","990.86","3.36B","-0.84%"
"02/19/2026","1,003.57","990.60","1,004.85","988.81","2.97B","1.75%"
"02/18/2026","986.32","985.27","989.62","979.46","2.73B","0.34%"
"02/17/2026","982.93","968.07","984.21","966.34","2.61B","1.48%"
"02/16/2026","968.61","971.66","976.15","964.98","1.81B","0.44%"
"02/13/2026","964.35","968.06","973.89","961.17","2.16B","-0.76%"
"02/12/2026","971.77","951.17","971.91","950.45","2.63B","2.30%"
"02/11/2026","949.89","950.92","956.07","947.00","1.91B","-0.05%"
"02/10/2026","950.34","949.53","951.97","943.49","1.97B","0.82%"
"02/09/2026","942.61","937.46","948.12","932.60","5.20B","3.65%"
"02/06/2026","909.38","902.01","915.61","901.09","1.29B","0.58%"
"02/05/2026","904.12","902.70","908.43","898.18","1.75B","0.10%"
"02/04/2026","903.22","899.11","904.26","897.01","1.54B","1.26%"
"02/03/2026","891.95","888.44","901.93","886.83","1.93B","1.08%"
"02/02/2026","882.44","878.97","882.71","872.53","1.57B","-0.03%"
"01/30/2026","882.67","884.06","887.59","880.76","1.80B","-0.55%"
"01/29/2026","887.59","892.58","895.20","884.76","1.78B","-0.67%"
"01/28/2026","893.60","892.72","895.70","887.28","1.62B","0.53%"
"01/27/2026","888.92","874.89","891.10","873.29","1.88B","1.84%"
"01/26/2026","872.84","875.14","876.59","868.95","1.70B","-0.44%"
"01/23/2026","876.69","875.98","883.74","872.58","2.36B","0.20%"
"01/22/2026","874.91","882.44","887.32","870.58","2.84B","-0.73%"
"01/21/2026","881.31","872.42","884.03","870.95","2.27B","1.37%"
"01/20/2026","869.40","860.52","875.71","859.87","1.93B","1.12%"
"01/19/2026","859.77","854.84","863.66","852.78","1.34B","0.46%"
"01/16/2026","855.83","844.24","856.89","841.74","1.68B","1.37%"
"01/15/2026","844.30","831.43","845.85","828.77","1.37B","1.26%"
"01/14/2026","833.83","828.01","835.64","826.22","1.18B","1.02%"
"01/13/2026","825.38","833.07","834.55","822.45","1.37B","-0.32%"
"01/12/2026","828.04","835.33","837.25","825.96","1.27B","-0.64%"
"01/09/2026","833.35","834.60","840.11","831.52","906.63M","0.03%"
"01/08/2026","833.08","835.04","840.69","831.55","1.10B","-1.51%"
"01/07/2026","845.83","841.93","846.78","841.06","1.51B","0.27%"
"01/06/2026","843.54","848.04","848.97","840.29","1.30B","-0.54%"
"01/05/2026","848.13","843.46","853.60","841.64","1.81B","1.49%"
"12/30/2025","835.67","830.53","837.67","830.53","1.27B","0.51%"
"12/29/2025","831.44","834.79","836.59","826.16","896.41M","-0.49%"
"12/26/2025","835.55","838.65","839.89","832.75","708.45M","-0.40%"
"12/25/2025","838.90","844.45","844.56","836.48","529.50M","-0.70%"
"12/24/2025","844.85","843.05","844.85","839.97","1.24B","0.33%"
"12/23/2025","842.09","841.63","846.77","839.14","1.21B","0.34%"
"12/22/2025","839.24","834.20","840.16","831.71","1.27B","1.30%"
"12/19/2025","828.50","831.34","832.63","826.38","1.54B","-0.02%"
"12/18/2025","828.64","832.17","835.55","823.29","2.08B","-0.20%"
"12/17/2025","830.30","833.38","836.80","828.89","1.48B","-0.30%"
"12/16/2025","832.84","838.06","838.06","831.42","1.32B","-0.99%"
"12/15/2025","841.16","824.94","841.16","823.93","1.42B","1.61%"
"12/12/2025","827.81","829.56","834.29","826.63","1.43B","-0.07%"
"12/11/2025","828.42","840.26","839.88","825.54","1.20B","-1.10%"
"12/09/2025","837.65","832.61","837.65","831.70","859.08M","0.67%"
"12/08/2025","832.04","838.74","842.79","829.25","1.23B","-0.69%"
"12/04/2025","837.85","840.23","844.73","834.82","1.52B","0.18%"
"12/03/2025","836.36","837.37","841.80","834.79","1.43B","-0.18%"
"12/02/2025","837.85","838.69","838.84","831.18","1.42B","0.11%"
"12/01/2025","836.89","823.80","838.72","823.20","1.70B","1.71%"
"11/28/2025","822.78","823.70","828.15","818.67","1.56B","0.28%"
"11/27/2025","820.47","827.73","828.21","819.12","1.19B","-0.64%"
"11/26/2025","825.79","833.59","834.03","823.61","2.33B","-0.47%"
"11/25/2025","829.67","824.06","831.18","820.53","1.72B","1.31%"
"11/24/2025","818.98","822.81","823.52","818.02","1.46B","-0.01%"
"11/21/2025","819.10","827.63","830.29","814.66","1.90B","-2.08%"
"11/20/2025","836.46","835.94","845.26","833.01","1.40B","0.86%"
"11/19/2025","829.29","831.94","833.18","824.12","1.61B","-0.17%"
"11/18/2025","830.71","829.46","836.73","829.46","1.08B","-0.79%"
"11/17/2025","837.34","828.13","839.51","825.09","1.30B","1.04%"
"11/14/2025","828.73","834.41","839.85","825.53","1.07B","-1.37%"
"11/13/2025","840.27","840.40","843.72","836.13","1.25B","0.31%"
"11/12/2025","837.70","849.56","849.90","837.70","1.58B","-1.12%"
"11/11/2025","847.15","852.09","853.11","845.45","1.43B","-0.40%"
"11/10/2025","850.53","850.78","853.87","845.79","1.10B","0.35%"
"11/07/2025","847.55","851.13","855.17","847.09","986.49M","-0.71%"
"11/06/2025","853.59","848.32","856.34","843.77","1.69B","1.26%"
"11/05/2025","842.93","837.03","846.79","835.47","1.47B","-0.16%"
"11/04/2025","844.31","849.12","854.26","841.95","1.73B","-0.81%"
"11/03/2025","851.22","856.04","857.36","848.12","1.10B","-0.08%"
"10/31/2025","851.93","851.91","857.86","848.99","1.35B","-0.46%"
"10/30/2025","855.87","849.65","859.48","847.38","2.35B","0.02%"
"10/29/2025","855.68","855.00","859.33","853.57","1.37B","0.14%"
"10/28/2025","854.48","864.62","866.50","851.78","1.85B","-0.84%"
"10/27/2025","861.68","865.24","876.98","861.07","1.93B","0.40%"
"10/24/2025","858.28","853.52","863.22","851.02","2.05B","1.17%"
"10/22/2025","848.34","840.12","855.50","836.53","1.96B","1.11%"
"10/21/2025","839.05","839.63","841.65","835.93","1.46B","0.43%"
"10/20/2025","835.45","835.48","837.78","832.68","964.12M","1.04%"
"10/17/2025","826.83","830.29","836.47","826.26","1.32B","-1.19%"
"10/16/2025","836.77","838.87","843.01","833.58","1.24B","0.26%"
"10/15/2025","834.58","828.47","836.16","826.05","1.56B","1.64%"
"10/14/2025","821.14","834.74","836.53","820.65","1.47B","-1.60%"
"10/10/2025","834.49","839.62","841.23","832.51","1.07B","-1.82%"
"10/09/2025","850.00","844.31","850.02","842.65","1.30B","1.00%"
"10/08/2025","841.60","842.27","847.34","839.96","1.55B","-0.03%"
"10/07/2025","841.82","835.76","845.28","834.17","1.25B","1.44%"
"10/06/2025","829.88","837.89","839.37","829.88","1.43B","-0.76%"
"10/03/2025","836.26","833.22","840.05","830.67","1.38B","0.49%"
"10/02/2025","832.17","830.69","836.67","828.89","1.12B","0.95%"
"10/01/2025","824.34","822.56","827.36","821.53","1.14B","-0.13%"
"09/30/2025","825.42","832.44","835.29","821.85","1.75B","-1.06%"
"09/29/2025","834.29","831.39","837.47","826.83","1.53B","1.05%"
"09/26/2025","825.62","830.95","832.87","825.23","1.08B","-0.88%"
"09/25/2025","832.92","827.68","834.62","826.23","1.23B","0.88%"
"09/24/2025","825.68","824.81","829.94","820.27","1.34B","0.17%"
"09/23/2025","824.30","831.03","834.84","823.67","1.45B","-0.61%"
"09/22/2025","829.34","836.18","837.38","829.34","1.24B","-0.66%"
"09/19/2025","834.86","840.78","841.97","834.21","1.59B","-0.46%"
"09/18/2025","838.74","847.36","847.97","834.66","1.38B","-0.62%"
"09/17/2025","843.94","845.33","847.76","842.64","1.58B","-0.07%"
"09/16/2025","844.57","843.44","847.31","841.04","1.64B","0.53%"
"09/15/2025","840.09","837.32","840.90","831.97","1.04B","0.38%"
"09/12/2025","836.87","838.87","841.59","833.57","1.11B","0.36%"
"09/11/2025","833.87","827.29","836.64","827.29","1.50B","0.93%"
"09/10/2025","826.21","828.32","829.84","823.90","1.29B","-0.04%"
"09/09/2025","826.50","822.55","827.20","820.20","1.72B","0.74%"
"09/08/2025","820.43","827.94","830.15","819.42","1.91B","-0.26%"
"09/05/2025","822.56","819.39","827.48","817.25","1.66B","0.85%"
"09/04/2025","815.65","825.10","829.45","814.62","1.36B","-0.94%"
"09/03/2025","823.37","818.39","825.64","817.59","1.75B","0.80%"
"09/02/2025","816.85","816.66","820.70","812.74","1.22B","0.35%"
"09/01/2025","813.99","806.29","815.14","803.24","1.49B","0.74%"
"08/29/2025","808.02","815.92","821.73","807.66","2.10B","-1.15%"
"08/28/2025","817.39","816.88","822.11","815.31","1.05B","0.05%"
"08/27/2025","817.01","820.07","825.53","815.74","1.23B","-0.19%"
"08/26/2025","818.54","820.26","826.46","816.77","2.64B","-0.85%"
"08/25/2025","825.58","827.13","829.70","823.45","1.39B","0.77%"
"08/22/2025","819.27","816.72","823.26","813.51","1.28B","0.55%"
"08/21/2025","814.77","817.72","820.13","811.60","1.72B","0.06%"
"08/20/2025","814.25","802.17","816.10","799.13","1.60B","1.33%"
"08/19/2025","803.55","805.73","811.98","803.55","1.31B","-0.58%"
"08/18/2025","808.21","818.41","818.41","807.35","1.16B","-1.10%"
"08/15/2025","817.19","821.15","823.56","814.25","1.73B","-0.39%"
"08/14/2025","820.42","828.77","832.00","819.68","1.82B","-1.16%"
"08/13/2025","830.05","826.72","832.50","820.40","2.59B","1.46%"
"08/08/2025","818.09","820.52","823.69","814.02","1.97B","-0.85%"
"08/07/2025","825.09","827.76","836.45","821.42","2.28B","0.19%"
"08/06/2025","823.56","820.47","826.10","815.53","2.52B","0.98%"
"08/05/2025","815.58","811.28","819.91","809.05","1.89B","1.14%"
"08/04/2025","806.38","799.81","807.87","793.67","1.43B","1.25%"
"08/01/2025","796.43","821.06","823.48","795.49","2.28B","-2.25%"
"07/31/2025","814.78","813.05","820.66","804.46","1.96B","-0.08%"
"07/30/2025","815.40","811.78","817.66","809.33","2.25B","0.65%"
"07/29/2025","810.12","803.64","811.56","796.10","1.73B","1.51%"
"07/25/2025","798.05","787.95","799.26","787.60","1.26B","0.51%"
"07/24/2025","794.00","794.12","804.66","789.11","1.72B","-0.56%"
"07/23/2025","798.47","787.84","801.32","787.37","2.04B","2.46%"
"07/22/2025","779.28","790.75","793.29","778.51","1.89B","-1.36%"
"07/21/2025","789.99","794.29","797.70","783.44","1.65B","0.07%"
"07/18/2025","789.42","781.93","791.85","780.73","2.17B","0.84%"
"07/17/2025","782.85","758.26","783.94","756.93","2.30B","3.93%"
"07/16/2025","753.26","754.41","760.77","750.66","1.80B","-0.26%"
"07/15/2025","755.26","743.65","756.74","740.21","2.02B","1.51%"
"07/14/2025","744.01","728.84","744.01","728.10","1.41B","2.19%"
"07/11/2025","728.07","725.91","735.77","725.09","1.24B","0.98%"
"07/09/2025","720.98","723.78","727.79","718.89","1.28B","-0.43%"
"07/08/2025","724.09","722.57","728.22","720.79","1.33B","-0.70%"
"07/07/2025","729.21","721.92","729.21","717.45","1.58B","0.42%"
"07/04/2025","726.16","732.10","733.03","723.08","1.28B","-0.82%"
"07/03/2025","732.19","725.39","733.38","724.51","1.40B","0.80%"
"07/02/2025","726.38","721.64","726.38","718.62","1.26B","0.37%"
"07/01/2025","723.73","712.86","723.87","706.23","1.66B","2.14%"
"06/30/2025","708.60","708.93","713.63","701.79","1.94B","0.69%"
"06/27/2025","703.75","720.28","720.67","700.48","1.59B","-2.57%"
"06/26/2025","722.33","723.19","731.58","721.09","1.72B","-0.42%"
"06/25/2025","725.35","716.20","728.40","713.44","2.67B","0.72%"
"06/24/2025","720.17","703.18","720.17","701.90","2.53B","3.99%"
"06/23/2025","692.53","688.11","696.18","684.49","1.57B","-0.10%"
"06/20/2025","693.21","695.65","703.59","691.09","2.58B","0.05%"
"06/19/2025","692.83","701.65","704.69","690.91","2.46B","-2.46%"
"06/18/2025","710.29","723.92","729.42","710.29","1.78B","-1.91%"
"06/17/2025","724.09","727.65","728.51","722.97","1.02B","-0.22%"
"06/16/2025","725.71","729.42","732.53","720.39","1.75B","-0.62%"
"06/13/2025","730.27","730.19","733.65","726.78","1.89B","-0.39%"
"06/12/2025","733.14","741.28","743.79","731.47","1.43B","-1.24%"
"06/11/2025","742.31","741.52","745.07","739.81","1.18B","0.38%"
"06/10/2025","739.49","735.65","743.22","735.65","1.44B","0.45%"
"06/09/2025","736.15","742.20","743.85","734.22","1.03B","-0.20%"
"06/06/2025","737.62","741.12","741.67","731.97","1.21B","-0.50%"
"06/05/2025","741.35","739.16","745.17","736.81","1.29B","0.95%"
"06/04/2025","734.36","744.44","746.24","730.15","1.86B","-1.56%"
"05/30/2025","746.02","751.47","755.66","746.02","2.86B","-1.59%"
"05/29/2025","758.11","767.71","769.86","757.14","1.35B","0.28%"
"05/28/2025","756.00","762.47","765.98","755.78","1.21B","-0.35%"
"05/27/2025","758.66","768.81","768.81","755.81","1.27B","-1.53%"
"05/26/2025","770.46","770.18","771.80","762.35","1.10B","0.26%"
"05/23/2025","768.45","769.95","775.17","766.44","1.33B","0.24%"
"05/22/2025","766.63","765.60","772.61","765.25","1.38B","-0.36%"
"05/21/2025","769.40","777.86","782.88","766.29","1.65B","-0.67%"
"05/20/2025","774.62","777.30","781.93","772.24","1.80B","0.35%"
"05/19/2025","771.93","775.81","779.53","770.28","1.57B","-0.93%"
"05/16/2025","779.20","781.78","786.06","774.52","1.40B","0.10%"
"05/15/2025","778.41","788.19","790.61","775.50","1.80B","-1.95%"
"05/14/2025","793.90","790.80","795.72","785.47","1.77B","0.50%"
"05/13/2025","789.97","801.92","805.23","788.23","2.35B","0.07%"
"05/09/2025","789.38","788.37","791.19","776.85","1.82B","0.74%"
"05/08/2025","783.61","791.22","794.31","783.07","1.94B","-1.27%"
"05/07/2025","793.73","777.89","793.73","775.73","2.23B","3.14%"
"05/06/2025","769.57","778.31","779.85","769.22","1.80B","-0.94%"
"05/02/2025","776.89","787.49","790.70","774.35","1.76B","0.14%"
"04/30/2025","775.79","754.52","775.79","752.65","2.04B","2.89%"
"04/29/2025","754.00","744.43","754.00","740.54","1.45B","1.45%"
"04/28/2025","743.23","743.91","747.99","740.61","1.06B","0.23%"
"04/25/2025","741.52","738.89","743.60","736.20","1.18B","1.23%"
"04/24/2025","732.52","734.49","739.32","730.00","1.28B","-0.82%"
"04/23/2025","738.54","737.53","742.76","732.71","1.71B","1.14%"
"04/22/2025","730.20","720.02","732.27","718.69","1.82B","0.83%"
"04/21/2025","724.16","734.16","737.77","720.64","1.79B","-1.57%"
"04/18/2025","735.70","731.23","737.92","729.34","1.55B","0.88%"
"04/17/2025","729.31","728.35","733.03","725.50","1.39B","-0.14%"
"04/16/2025","730.31","725.46","733.41","717.92","1.73B","0.45%"
"04/11/2025","727.04","726.12","732.49","718.90","1.63B","-0.38%"
"04/10/2025","729.82","730.53","739.55","720.88","2.13B","4.85%"
"04/09/2025","696.06","682.30","701.24","676.75","2.43B","1.81%"
"04/08/2025","683.69","680.16","687.41","667.69","2.89B","-4.40%"
"04/04/2025","715.17","736.56","737.09","713.61","2.12B","-3.57%"
"04/03/2025","741.67","741.54","744.70","737.49","1.72B","-1.30%"
"04/02/2025","751.43","747.52","754.16","746.25","1.19B","0.51%"
"04/01/2025","747.60","745.48","751.61","745.07","871.77M","1.06%"
"03/31/2025","739.77","737.73","747.03","737.73","1.64B","-1.46%"
"03/28/2025","750.73","756.71","756.88","748.76","894.66M","-1.10%"
"03/27/2025","759.10","759.32","762.76","756.82","1.39B","-0.03%"
"03/26/2025","759.36","756.45","762.84","756.45","1.15B","0.55%"
"03/25/2025","755.22","758.42","758.72","750.91","1.28B","-0.40%"
"03/24/2025","758.24","755.89","759.88","751.43","851.85M","0.49%"
"03/21/2025","754.58","752.41","755.23","748.61","2.57B","0.89%"
"03/20/2025","747.90","755.65","762.13","747.90","1.35B","-0.79%"
"03/19/2025","753.88","746.38","758.66","743.75","1.36B","1.19%"
"03/18/2025","745.01","745.88","748.84","737.65","1.44B","0.70%"
"03/17/2025","739.84","744.69","747.02","736.53","1.21B","-0.42%"
"03/14/2025","742.98","735.29","745.89","733.23","1.35B","1.39%"
"03/13/2025","732.83","736.00","739.37","731.42","1.10B","-0.03%"
"03/12/2025","733.03","750.42","751.86","731.10","1.79B","-2.51%"
"03/11/2025","751.89","737.67","754.20","733.19","1.82B","0.91%"
"03/10/2025","745.12","757.73","758.91","745.12","1.27B","-2.37%"
"03/07/2025","763.23","753.39","763.36","751.89","1.45B","1.22%"
"03/06/2025","754.01","766.40","766.79","751.77","1.67B","-1.67%"
"03/05/2025","766.78","752.39","768.56","750.36","1.72B","2.78%"
"03/04/2025","746.01","751.10","760.55","742.55","1.68B","-1.24%"
"03/03/2025","755.38","769.43","772.36","753.37","1.69B","-1.48%"
"02/28/2025","766.70","757.89","769.06","753.75","2.90B","-1.12%"
"02/27/2025","775.42","781.98","787.26","773.02","1.90B","-1.22%"
"02/26/2025","785.03","770.79","787.63","769.78","2.64B","2.14%"
"02/25/2025","768.55","784.00","784.00","768.44","2.23B","-2.41%"
"02/24/2025","787.51","792.01","792.04","781.71","2.19B","-0.95%"
"02/21/2025","795.09","793.60","800.91","790.96","1.60B","0.00%"
"02/20/2025","795.06","801.96","806.72","791.61","2.09B","-1.67%"
"02/19/2025","808.57","805.48","814.49","804.39","2.10B","0.05%"
"02/18/2025","808.20","811.42","813.51","804.16","1.57B","-0.32%"
"02/17/2025","810.82","805.13","812.95","798.94","2.05B","-2.18%"
"02/14/2025","828.87","840.59","841.22","827.03","1.57B","-1.24%"
"02/13/2025","839.29","840.06","849.78","836.63","1.43B","0.26%"
"02/11/2025","837.12","831.38","838.81","828.22","1.25B","0.87%"
"02/10/2025","829.87","831.81","833.43","822.79","1.62B","-1.00%"
"02/07/2025","838.22","826.30","838.22","817.22","2.28B","1.96%"
"02/06/2025","822.10","840.27","841.17","820.18","1.89B","-1.91%"
"02/05/2025","838.08","847.30","850.87","834.01","1.40B","-1.22%"
"02/04/2025","848.47","854.03","858.32","847.16","1.47B","-0.13%"
"02/03/2025","849.54","826.89","849.54","823.53","2.15B","-0.80%"
"01/31/2025","856.40","871.27","872.79","852.95","2.11B","-1.59%"
"01/30/2025","870.26","874.72","876.99","868.46","1.25B","-0.60%"
"01/29/2025","875.48","880.98","881.72","873.00","1.71B","-0.12%"
"01/28/2025","876.49","867.77","878.29","867.77","1.53B","0.30%"
"01/27/2025","873.85","879.94","883.89","873.15","1.04B","-1.18%"
"01/24/2025","884.29","881.98","884.46","877.78","1.08B","0.77%"
"01/23/2025","877.57","889.00","890.84","877.57","1.47B","-1.48%"
"01/22/2025","890.71","885.44","892.22","885.29","2.03B","0.78%"
"01/21/2025","883.85","880.71","888.15","877.18","1.36B","0.89%"
"01/20/2025","876.01","879.18","883.27","873.63","1.09B","0.03%"
"01/17/2025","875.76","880.15","886.46","874.31","1.38B","-0.86%"
"01/16/2025","883.40","890.78","891.83","879.01","1.18B","-0.07%"
"01/15/2025","884.02","876.52","884.02","869.93","1.38B","1.11%"
"01/14/2025","874.32","889.70","889.70","874.09","1.49B","-0.90%"
"01/13/2025","882.28","885.88","889.06","878.62","1.44B","-1.13%"
"01/10/2025","892.34","887.88","894.63","880.06","1.35B","0.51%"
"01/09/2025","887.78","899.89","899.89","885.80","1.45B","-1.60%"
"01/08/2025","902.20","902.93","905.03","897.06","1.03B","-0.08%"
"01/07/2025","902.90","890.96","906.27","890.96","1.17B","1.59%"
"01/06/2025","888.73","899.56","900.90","886.76","1.28B","-0.82%"
"01/03/2025","896.07","894.62","899.22","890.93","793.19M","0.49%"
"01/02/2025","891.72","904.48","906.10","890.13","962.66M","-1.60%"
"12/30/2024","906.23","910.62","915.79","905.96","807.32M","-0.29%"
"12/27/2024","908.90","906.94","916.00","904.10","729.34M","0.27%"
"12/26/2024","906.41","906.77","909.57","903.59","757.57M","-0.08%"
"12/25/2024","907.17","907.45","910.27","904.22","1.05B","0.30%"
"12/24/2024","904.44","902.36","906.79","900.32","779.47M","0.50%"
"12/23/2024","899.93","890.55","900.90","885.51","1.38B","1.83%"
"12/20/2024","883.72","889.65","892.45","880.01","1.96B","-0.82%"
"12/19/2024","891.01","894.48","902.25","888.20","1.36B","-1.62%"
"12/18/2024","905.70","905.59","909.35","898.04","1.42B","0.30%"
"12/17/2024","903.02","918.86","921.50","901.41","1.37B","-1.85%"
"12/16/2024","920.01","919.50","922.05","915.04","996.08M","-0.37%"
"12/13/2024","923.47","926.25","928.90","921.69","1.76B","-0.70%"
"12/12/2024","930.00","935.80","943.29","929.22","1.40B","-0.19%"
"12/11/2024","931.80","932.25","939.71","930.41","848.22M","-0.32%"
"12/09/2024","934.77","934.40","936.57","929.33","802.71M","-0.20%"
"12/06/2024","936.67","934.99","939.78","933.33","990.16M","0.13%"
"12/04/2024","935.49","939.52","941.44","933.54","1.04B","-0.44%"
"12/03/2024","939.60","930.08","940.59","930.05","1.39B","1.42%"
"12/02/2024","926.46","921.23","926.46","913.58","965.02M","0.87%"
"11/29/2024","918.45","921.75","924.49","915.94","1.43B","-0.27%"
"11/28/2024","920.96","923.21","925.87","916.57","1.17B","-0.25%"
"11/27/2024","923.23","926.83","927.68","919.34","1.05B","-0.57%"
"11/26/2024","928.55","931.06","936.09","926.34","884.93M","-0.34%"
"11/25/2024","931.75","938.47","940.71","930.80","1.36B","-0.20%"
"11/22/2024","933.61","932.36","936.88","925.19","1.26B","0.48%"
"11/21/2024","929.11","930.69","940.20","925.81","1.02B","-2.00%"
"11/20/2024","948.03","947.19","948.06","941.75","935.91M","0.34%"
"11/19/2024","944.85","945.09","953.71","943.56","1.20B","0.63%"
"11/18/2024","938.91","936.60","942.62","931.68","876.33M","0.79%"
"11/15/2024","931.56","939.73","942.09","927.21","1.15B","-0.47%"
"11/14/2024","935.95","935.75","944.90","928.79","1.33B","-0.07%"
"11/13/2024","936.61","934.25","946.68","934.02","957.52M","0.52%"
"11/12/2024","931.81","936.03","940.23","929.44","1.16B","-0.55%"
"11/11/2024","936.93","941.31","942.68","934.47","1.08B","-0.48%"
"11/08/2024","941.49","949.00","950.61","937.24","1.08B","-0.68%"
"11/07/2024","947.96","946.09","953.87","945.00","1.10B","0.36%"
"11/06/2024","944.56","953.99","958.59","941.30","1.48B","-0.81%"
"11/05/2024","952.29","938.46","956.35","936.93","1.04B","1.62%"
"11/04/2024","937.15","938.76","943.54","934.93","860.62M","0.15%"
"11/01/2024","935.77","935.54","938.29","931.92","886.79M","-0.10%"
"10/31/2024","936.69","924.01","939.77","924.01","1.08B","1.26%"
"10/30/2024","924.99","924.99","930.82","921.79","1.25B","-0.25%"
"10/29/2024","927.31","928.24","935.12","925.90","1.13B","-0.09%"
"10/28/2024","928.13","937.81","938.95","926.00","1.75B","-1.00%"
"10/25/2024","937.49","937.54","941.40","932.32","1.23B","0.27%"
"10/24/2024","934.94","938.68","945.58","933.51","1.69B","-0.75%"
"10/22/2024","941.96","951.18","953.67","939.12","1.50B","-1.24%"
"10/21/2024","953.76","957.23","958.20","948.36","1.35B","-0.10%"
"10/18/2024","954.67","955.18","965.78","953.65","1.84B","-0.19%"
"10/17/2024","956.49","951.25","959.39","950.56","1.42B","0.93%"
"10/16/2024","947.65","934.77","950.46","933.29","1.91B","1.20%"
"10/15/2024","936.38","938.14","945.15","934.92","1.41B","-0.03%"
"10/11/2024","936.64","937.99","945.43","936.08","1.57B","0.15%"
"10/10/2024","935.24","930.33","940.46","926.71","1.18B","0.96%"
"10/09/2024","926.37","923.37","929.25","922.13","1.25B","0.47%"
"10/08/2024","922.03","919.32","927.42","918.56","1.51B","-0.05%"
"10/07/2024","922.53","916.97","923.16","915.71","1.57B","0.57%"
"10/04/2024","917.34","914.50","920.26","909.29","1.66B","0.26%"
"10/03/2024","914.94","914.17","919.97","910.26","1.57B","-0.33%"
"10/02/2024","917.98","923.03","925.25","914.45","1.64B","-0.74%"
"10/01/2024","924.78","914.19","928.42","914.17","1.66B","1.17%"
"09/30/2024","914.07","910.97","917.88","910.36","1.45B","-0.15%"
"09/27/2024","915.43","919.03","922.62","912.11","2.10B","-0.55%"
"09/26/2024","920.46","925.23","926.58","916.11","1.82B","-0.41%"
"09/25/2024","924.27","927.23","931.59","922.11","2.12B","-0.04%"
"09/24/2024","924.61","915.77","925.72","912.94","1.55B","1.25%"
"09/23/2024","913.23","915.70","917.72","908.27","1.48B","-0.04%"
"09/20/2024","913.59","919.56","922.50","913.59","2.17B","-0.45%"
"09/19/2024","917.74","907.48","917.74","903.87","2.45B","1.42%"
"09/18/2024","904.90","906.84","913.14","903.15","2.43B","-0.18%"
"09/17/2024","906.50","905.55","907.94","901.70","2.22B","0.19%"
"09/16/2024","904.75","899.90","906.15","897.75","2.84B","0.55%"
"09/13/2024","899.81","902.00","906.14","897.34","2.00B","0.28%"
"09/12/2024","897.32","898.55","904.02","897.00","1.32B","0.44%"
"09/11/2024","893.40","898.84","901.94","886.98","1.90B","-0.93%"
"09/10/2024","901.78","904.05","906.09","897.71","2.26B","-0.29%"
"09/09/2024","904.37","905.27","911.23","896.63","3.23B","-0.11%"
"09/06/2024","905.34","895.60","908.41","894.66","4.25B","1.87%"
"09/05/2024","888.75","865.22","889.76","864.56","2.46B","3.27%"
"09/04/2024","860.59","853.89","862.61","853.89","1.30B","0.04%"
"09/03/2024","860.21","853.98","864.69","853.98","1.49B","0.71%"
"09/02/2024","854.15","853.75","857.20","852.63","1.66B","-0.38%"
"08/30/2024","857.38","859.23","864.15","855.16","2.83B","0.00%"
"08/29/2024","857.40","859.34","863.09","856.46","1.26B","-0.68%"
"08/28/2024","863.26","858.10","866.68","855.36","1.46B","0.32%"
"08/27/2024","860.47","861.18","864.07","858.01","1.50B","-0.09%"
"08/26/2024","861.22","854.11","862.90","851.21","2.35B","0.82%"
"08/23/2024","854.25","846.00","855.15","845.37","2.41B","0.88%"
"08/22/2024","846.76","845.63","849.05","842.50","1.24B","0.15%"
"08/21/2024","845.53","840.32","846.86","838.74","1.21B","0.66%"
"08/20/2024","839.99","839.58","846.73","837.20","1.51B","0.33%"
"08/19/2024","837.25","826.78","837.88","824.11","1.94B","1.44%"
"08/16/2024","825.35","821.82","827.19","820.18","1.38B","0.93%"
"08/15/2024","817.71","817.63","818.78","810.09","1.28B","-0.14%"
"08/14/2024","818.89","824.40","828.92","810.92","2.09B","-0.52%"
